,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
150,-4,1336,1344,2047.3,2051.3329789512877,-16.13191580515104,-0.001969901309670119,2021-07-27 14:20:00,2021-07-27 15:00:00,0 days 00:40:00
151,-4,1348,1350,2054.15,2058.0,-15.399999999999636,-0.0018742545578462888,2021-07-27 15:20:00,2021-07-28 09:15:00,0 days 17:55:00
152,-4,1351,1356,2046.45,2036.8637542440736,38.344983023705936,0.004684329329290415,2021-07-28 09:20:00,2021-07-28 09:45:00,0 days 00:25:00
153,-4,1357,1367,2034.15,2025.205085789182,35.77965684327228,0.004397371978869802,2021-07-28 09:50:00,2021-07-28 10:40:00,0 days 00:50:00
154,-4,1368,1371,2025.65,2018.1468412989916,30.01263480403395,0.003704074593838258,2021-07-28 10:45:00,2021-07-28 11:00:00,0 days 00:15:00
155,-4,1372,1374,2019.95,2024.6508284538406,-18.803313815362344,-0.0023272004029013527,2021-07-28 11:05:00,2021-07-28 11:15:00,0 days 00:10:00
156,-4,1379,1383,2021.55,2025.6688271214184,-16.47530848567385,-0.0020374599299639584,2021-07-28 11:40:00,2021-07-28 12:00:00,0 days 00:20:00
157,-4,1388,1391,2027.5,2032.723419548746,-20.893678194984204,-0.0025762858440177006,2021-07-28 12:25:00,2021-07-28 12:40:00,0 days 00:15:00
158,4,1394,1394,2036.85,2031.972887721389,-19.508449114443465,-0.0023944386079538527,2021-07-28 12:55:00,2021-07-28 12:55:00,0 days 00:00:00
159,4,1398,1411,2035.7,2030.7489889574845,-19.804044170062298,-0.002432092667149166,2021-07-28 13:15:00,2021-07-28 14:20:00,0 days 01:05:00
160,-4,1412,1417,2028.85,2033.3610898490097,-18.044359396039,-0.0022234713502771175,2021-07-28 14:25:00,2021-07-28 14:50:00,0 days 00:25:00
161,4,1419,1425,2037.55,2054.0,65.80000000000018,0.008073421511128664,2021-07-28 15:00:00,2021-07-29 09:15:00,0 days 18:15:00
162,4,1426,1434,2049.0,2058.4405206513998,37.76208260559906,0.004607379527281408,2021-07-29 09:20:00,2021-07-29 10:00:00,0 days 00:40:00
163,4,1435,1436,2062.2,2069.683286016949,29.933144067796093,0.003628787710672654,2021-07-29 10:05:00,2021-07-29 10:10:00,0 days 00:05:00
164,4,1437,1439,2068.4,2062.0008395019026,-25.596641992389777,-0.003093773205423256,2021-07-29 10:15:00,2021-07-29 10:25:00,0 days 00:10:00
165,4,1441,1460,2067.5,2061.449599331306,-24.20160267477513,-0.002926433213394808,2021-07-29 10:35:00,2021-07-29 12:10:00,0 days 01:35:00
166,-4,1464,1464,2054.3,2058.539723627973,-16.95889451189214,-0.002063828860425998,2021-07-29 12:30:00,2021-07-29 12:30:00,0 days 00:00:00
167,-4,1465,1495,2058.35,2051.876069621177,25.89572151529137,0.003145203866603219,2021-07-29 12:35:00,2021-07-29 15:05:00,0 days 02:30:00
168,-4,1496,1499,2052.2,2055.4239007704446,-12.895603081778972,-0.0015709486260815364,2021-07-29 15:10:00,2021-07-29 15:25:00,0 days 00:15:00
169,-4,1502,1507,2049.6,2055.3784172780547,-23.113669112219213,-0.0028192902410493215,2021-07-30 09:25:00,2021-07-30 09:50:00,0 days 00:25:00
170,4,1508,1508,2054.9,2062.4806863193685,30.322745277473587,0.0036890779694234155,2021-07-30 09:55:00,2021-07-30 09:55:00,0 days 00:00:00
171,4,1509,1525,2063.65,2057.2667506746466,-25.53299730141407,-0.003093184079351441,2021-07-30 10:00:00,2021-07-30 11:20:00,0 days 01:20:00
172,-4,1527,1527,2055.4,2058.897114243373,-13.988456973491338,-0.0017014275777818,2021-07-30 11:30:00,2021-07-30 11:30:00,0 days 00:00:00
173,4,1529,1541,2058.2,2054.980691576298,-12.877233694807728,-0.0015641378018180774,2021-07-30 11:40:00,2021-07-30 12:40:00,0 days 01:00:00
174,-4,1542,1551,2054.15,2049.516013201062,18.53594719575267,0.0022559145140024217,2021-07-30 12:45:00,2021-07-30 13:30:00,0 days 00:45:00
175,-4,1552,1553,2049.2,2051.8522007350484,-10.608802940194437,-0.001294261533792973,2021-07-30 13:35:00,2021-07-30 13:40:00,0 days 00:05:00
176,4,1557,1558,2056.6,2053.2201646387966,-13.519341444813108,-0.0016434092002349798,2021-07-30 14:00:00,2021-07-30 14:05:00,0 days 00:05:00
